,,中远海运集运亚欧快航三线  (AEU3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,COSCO SHIPPING LINES ASIA--EUROPE EXPRESS SERVICE LOOP 3 (AEU3),,,,,,,,,,,,,,,,,,,,,,,,,2026. 3. 23,,,,
WEEK,VESSEL NAME,"VSL
CODE",S/O,"COS
VOYAGE        ( IRIS4 )",,"COMMON
VOYAGE",,TSN07,,DLC01,,TAO06,,SHA08,,NGB07,,SIN02,,RTM06,,,HAM01,,ANR07,,SHA08,,TSN07,,
,,,,,,,,天津,,大连,,青岛,,上海,,宁波,,新加坡,,鹿特丹,,,汉堡,,安特卫普,,上海,,天津,,
,,,,,,,,ETB,ETD,ETB,ETD,ETB,ETD,ETB,ETD,ETB,ETD,ETB,ETD,ETA,ETB,ETD,ETB,ETD,ETB,ETD,ETB,ETD,ETB,ETD,
,,,,,,,,FRI,SUN,MON,TUE,WED,FRI,SAT,SUN,MON,TUE,SUN,MON,TUE,TUE,FRI,SAT,TUE,WED,THU,TUE,WED,FRI,SUN,
,,,,,,,,0.7916666666666666,0.4583333333333333,0.3333333333333333,0.75,0.5,0.16666666666666666,0.25,0.75,0.4166666666666667,0.6666666666666666,0.625,0.625,0.8333333333333334,0.9166666666666666,0.5833333333333334,0.5,0.0,0.25,0.75,0.3333333333333333,0.8333333333333334,0.7916666666666666,0.4583333333333333,
51.0,COSCO SHIPPING CAPRICORN,CNG,COS,039W,039E,039W,039E,46003.0,46005.0,46006.0,46007.0,46008.0,46010.0,46011.0,46012.0,46013.0,46014.0,46019.0,46020.0,46049.0,46049.0,46052.0,46053.0,46056.0,46057.0,46058.0,46105.0,46106.0,46108.0,46110.0,R3
52.0,COSCO SHIPPING VIRGO,CSD,COS,034W,034E,034W,034E,46010.0,46012.0,46013.0,46014.0,46015.0,46017.0,46018.0,46019.0,46020.0,46021.0,46026.0,46027.0,46056.0,46056.0,46059.0,46060.0,46063.0,46064.0,46065.0,OMIT,,46115.0,46117.0,R3
1.0,COSCO SHIPPING GALAXY,CSH,COS,028W,028E,028W,028E,46017.0,46019.0,46020.0,46021.0,46022.0,46024.0,46025.0,46026.0,46027.0,46028.0,46033.0,46034.0,46063.0,46063.0,46066.0,46067.0,46070.0,46071.0,46072.0,46126.0,46127.0,46129.0,46131.0,R4/R5
